date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:52	153/153	---M--	200	added ('OK')	text/plain	date:Tue,%2018%20Apr%202017%2006:16:10%20GMT	http://wpblognews.com/robots.txt		(from )
18:43:53	40244/40244	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202016%2012:40:04%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/index.html	(from )
18:43:55	144094/144094	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Feb%202016%2012:38:44%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/mega_menu.min.css	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/mega_menu.min.css	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:43:57	4162/4162	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Feb%202016%2023:23:16%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/demo.css	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/demo.css	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:43:57	6373/6373	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202016%2000:27:18%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/js/mega_menu.min.js	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/js/mega_menu.min.js	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:43:59	2062/2062	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202017%2011:27:22%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/ufo.png	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/ufo.png	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:43:59	8504/8504	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202017%2011:26:46%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/bg.png	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/bg.png	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:43:59	1292/1292	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202017%2011:17:58%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/icons/brush_64px.png	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/icons/brush_64px.png	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:43:59	1424/1424	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202017%2011:24:06%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/icons/palette_2_64px.png	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/icons/palette_2_64px.png	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:44:00	1277/1277	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202017%2011:24:08%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/icons/palette_64px.png	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/icons/palette_64px.png	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:44:01	23739/23739	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Feb%202016%2014:58:26%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/font-awesome.min.css	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/font-awesome.min.css	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/mega_menu.min.css)
18:44:01	2642/2642	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Feb%202016%2014:58:26%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/menu_menu_reset.min.css	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/menu_menu_reset.min.css	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/mega_menu.min.css)
18:44:01	4961/4961	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202017%2011:27:06%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/img.jpg	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/images/img.jpg	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:44:02	95957/95957	---M--	200	added ('OK')	application/javascript	date:Tue,%2009%20Feb%202016%2014:58:26%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/js/jquery-1.11.3.min.js	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/js/jquery-1.11.3.min.js	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/)
18:44:11	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2009%20Feb%202016%2014:58:26%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/fonts/fontawesome-webfonte0a5.eot	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/font-awesome.min.css)
18:44:12	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2009%20Feb%202016%2014:58:26%20GMT	http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/CSS%20Menu1/wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/fonts/fontawesome-webfontd41d.eot	(from http://wpblognews.com/demo/thebestdesigns/css-responsive-mega-drop-down-menu/css/font-awesome.min.css)
